,title,price,year,link,types,age
0,"> ladies ring - amethyst, diamonds & 10k gold, vintage piece <",0,,https://charlottesville.craigslist.org/jwl/d/charlottesville-ladies-ring-amethyst/7875880835.html,ring,
1,vintage elgin ramona gold plated ladies watch pin.,150,,https://charlottesville.craigslist.org/jwl/d/charlottesville-vintage-elgin-ramona/7912422642.html,missing,
2,vintage linda van der linde pink porcelain earrings set.,50,,https://charlottesville.craigslist.org/jwl/d/charlottesville-vintage-linda-van-der/7903466760.html,missing,
3,silver rings,1,,https://charlottesville.craigslist.org/jwl/d/greenwood-silver-rings/7912737158.html,missing,
4,2002 tj  4.0 wrangler drivetrain 36 k original miles,2700,2002.0,https://charlottesville.craigslist.org/jwl/d/schuyler-2002-tj-40-wrangler-drivetrain/7907694976.html,missing,23.0
5,oyster perpetual   diver watch,145,,https://charlottesville.craigslist.org/jwl/d/schuyler-oyster-perpetual-diver-watch/7898162463.html,missing,
6,chris king headset 1 1/8 new,97,,https://charlottesville.craigslist.org/jwl/d/schuyler-chris-king-headset-new/7907641678.html,missing,
7,linda van der linde necklace and earrings set,90,,https://charlottesville.craigslist.org/jwl/d/charlottesville-linda-van-der-linde/7903466930.html,missing,
8,lori griener black jewelry box mirror,30,,https://charlottesville.craigslist.org/jwl/d/troy-lori-griener-black-jewelry-box/7893165209.html,missing,
9,taskets renaissance jewelry box chest of ceramic drawers woven basket,20,,https://charlottesville.craigslist.org/jwl/d/troy-taskets-renaissance-jewelry-box/7908205985.html,missing,
10,raymond weil gold plated watch,150,,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-gold-plated/7877117585.html,missing,
11,raymond weil 18k gold plated watch 9006,125,,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-18k-gold-plated/7877117458.html,missing,
12,watch winder for 4 watches,100,,https://charlottesville.craigslist.org/jwl/d/nellysford-watch-winder-for-watches/7898474821.html,missing,
13,silver novelty bracelet,15,,https://charlottesville.craigslist.org/jwl/d/charlottesville-silver-novelty-bracelet/7912542473.html,missing,
14,godfrey carter 925 sterling silver bracelet,50,,https://charlottesville.craigslist.org/jwl/d/troy-godfrey-carter-925-sterling-silver/7908205010.html,missing,
15,slightly negotiable 2025 submariner date stickers complete and receipt,13995,2025.0,https://charlottesville.craigslist.org/jwl/d/fishkill-slightly-negotiable-2025/7903973750.html,missing,0.0
16,two wooden jewelry boxes plus jewelry,250,,https://charlottesville.craigslist.org/jwl/d/montpelier-station-two-wooden-jewelry/7895470010.html,missing,
17,mickey mouse 75 th anniversary watch,125,,https://charlottesville.craigslist.org/jwl/d/charlottesville-mickey-mouse-75-th/7879619584.html,missing,
18,special vintage sterling silver flower necklace italian designer milor,80,,https://charlottesville.craigslist.org/jwl/d/troy-special-vintage-sterling-silver/7872261605.html,missing,
19,musical jewelry box,10,,https://charlottesville.craigslist.org/jwl/d/troy-musical-jewelry-box/7872773147.html,missing,
20,new box judith ripka sterling silver 925 link cultured pearl toggle,160,,https://charlottesville.craigslist.org/jwl/d/troy-new-box-judith-ripka-sterling/7876412981.html,missing,
21,ring from cameleer,50,,https://charlottesville.craigslist.org/jwl/d/trevilians-ring-from-cameleer/7900616718.html,missing,
22,ruby chip ring in rose gold,300,,https://charlottesville.craigslist.org/jwl/d/charlottesville-ruby-chip-ring-in-rose/7876632723.html,in,
23,watch,75,,https://charlottesville.craigslist.org/jwl/d/charlottesville-watch/7909959159.html,missing,
24,assorted costume jewelry bracelets,15,,https://charlottesville.craigslist.org/jwl/d/charlottesville-assorted-costume/7902615145.html,missing,
25,older jewelry box,5,,https://charlottesville.craigslist.org/jwl/d/troy-older-jewelry-box/7878177166.html,missing,
26,mens watch,50,,https://charlottesville.craigslist.org/jwl/d/charlottesville-mens-watch/7910974505.html,missing,
27,vintage jewelry,5,,https://charlottesville.craigslist.org/jwl/d/gainesville-vintage-jewelry/7907151329.html,missing,
28,“lazy quartz” sample,20,,https://charlottesville.craigslist.org/jwl/d/charlottesville-lazy-quartz-sample/7907935912.html,missing,
29,pearl necklace,6,,https://charlottesville.craigslist.org/jwl/d/louisa-pearl-necklace/7907842531.html,missing,
30,columbia zip up,45,,https://charlottesville.craigslist.org/jwl/d/troy-columbia-zip-up/7905852947.html,missing,
